 "Material" , "Resin" , "ReinforcementFiber" , "ZeroDegreeDirectionFiber_pct" , "FortyFiveDegreeDirectionFiber_pct" , "NinetyDegreeDirectionFiber_pct" , "OtherDegreeDirectionFiber_pct" , "GaugeSectionWidth_mm" , "GaugeSectionThickness_mm" , "MaximumStress_MPa" , "FatigueTestFrequency_Hz" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-34.5" , "1.0" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-24.1" , "10.0" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "172" , "10.0" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "190" , "10.0" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "207" , "10.0" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-20.7" , "15.0" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-24.1" , "15.0" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "172" , "15.0" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-27.6" , "2.0" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-31.0" , "2.0" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "276" , "2.0" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-27.6" , "4.0" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "241" , "4.0" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "-27.6" , "1.0" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "276" , "1.0" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "-17.2" , "10.0" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "-20.7" , "10.0" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "138" , "10.0" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "-13.8" , "15.0" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "-17.2" , "15.0" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "-24.1" , "2.0" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "276" , "2.0" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "103" , "20.0" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "-24.1" , "4.0" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "207" , "4.0" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "138" , "5.0" ,
 "Biax-CH14-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.49" , "345" , "1.0" ,
 "Biax-CH14-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.49" , "-24.1" , "10.0" ,
 "Biax-CH14-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.49" , "172" , "10.0" ,
 "Biax-CH14-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.49" , "207" , "10.0" ,
 "Biax-CH14-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.49" , "-31.0" , "2.0" ,
 "Biax-CH14-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.49" , "345" , "2.0" ,
 "Biax-CH14-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.49" , "-20.7" , "20.0" ,
 "Biax-CH14-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.49" , "138" , "20.0" ,
 "Biax-CH14-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.49" , "-27.6" , "4.0" ,
 "Biax-CH14-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.49" , "276" , "4.0" ,
 "Biax-CH14-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.49" , "-24.1" , "5.0" ,
 "Biax-CH14-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.49" , "-27.6" , "5.0" ,
 "Biax-CH15-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.49" , "-17.2" , "10.0" ,
 "Biax-CH15-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.49" , "138" , "10.0" ,
 "Biax-CH15-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.49" , "121" , "12.0" ,
