 "Material" , "Resin" , "ReinforcementFiber" , "ZeroDegreeDirectionFiber_pct" , "FortyFiveDegreeDirectionFiber_pct" , "NinetyDegreeDirectionFiber_pct" , "OtherDegreeDirectionFiber_pct" , "GaugeSectionWidth_mm" , "GaugeSectionThickness_mm" , "MaximumStress_MPa" , "FatigueTestFrequency_Hz" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "103" , "15.0" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "310" , "2.0" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "241" , "4.0" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "172" , "8.0" ,
 "Triax-F" , "CoRezyn 63-AX-050" , "Triax" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "7.24" , "102" , "10.0" ,
 "Triax-F" , "CoRezyn 63-AX-050" , "Triax" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "7.24" , "195" , "5.0" ,
 "Triax-F" , "CoRezyn 63-AX-050" , "Triax" , "48.0" , "52.0" , "0.0" , "0.0" , "50.0" , "7.24" , "78" , "10.0" ,
 "Triax-F" , "CoRezyn 63-AX-050" , "Triax" , "48.0" , "52.0" , "0.0" , "0.0" , "50.0" , "7.24" , "102" , "5.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "207" , "1.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "131" , "10.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "162" , "10.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "172" , "10.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "207" , "10.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "241" , "10.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "86" , "10.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "-13.8" , "15.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "-20.7" , "15.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "138" , "15.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "87" , "15.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "138" , "2.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "-13.8" , "20.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "138" , "20.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "103" , "4.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "103" , "5.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "138" , "5.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "172" , "5.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "276" , "5.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "345" , "5.0" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "50.0" , "6.58" , "-15.3" , "5.0" ,
