 "Material" , "Resin" , "ReinforcementFiber" , "ZeroDegreeDirectionFiber_pct" , "FortyFiveDegreeDirectionFiber_pct" , "NinetyDegreeDirectionFiber_pct" , "OtherDegreeDirectionFiber_pct" , "GaugeSectionWidth_mm" , "GaugeSectionThickness_mm" , "MaximumStrain_pct" , "LoadCycle_time" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.20" , "108802.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.13" , "116437.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.99" , "1325.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.16" , "1465.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.11" , "1712433.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.94" , "2415.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.13" , "244866.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.19" , "266.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.85" , "2803.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.16" , "3815.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.00" , "389771.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.19" , "394.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.16" , "4295.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.15" , "4326.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.19" , "476154.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.60" , "4914.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.13" , "64663.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.29" , "65123.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.11" , "663181.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.15" , "7611.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.29" , "82951.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.15" , "8723.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.19" , "887.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.49" , "9523.00" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "0.50" , "1067315.00" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "1.75" , "301.00" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "0.74" , "31299.00" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "1.24" , "3466.00" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "1.81" , "363.00" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "0.70" , "37685.00" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "1.24" , "4078.00" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "0.70" , "44571.00" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "1.68" , "449.00" ,
 "Biax-CH13-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.28" , "1.24" , "4587.00" ,
 "Biax-CH14-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.49" , "1.12" , "11600.00" ,
 "Biax-CH14-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.49" , "1.87" , "121.00" ,
 "Biax-CH14-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.49" , "1.56" , "1280.00" ,
 "Biax-CH14-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.49" , "1.56" , "1709.00" ,
