 "Resin" , "ReinforcementFiber" , "ZeroDegreeDirectionFiber_pct" , "FortyFiveDegreeDirectionFiber_pct" , "NinetyDegreeDirectionFiber_pct" , "OtherDegreeDirectionFiber_pct" , "GaugeSectionWidth_mm" , "GaugeSectionThickness_mm" , "MaximumStrain_pct" , "LoadCycle_time" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "1.44" , "1244.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "0.66" , "18865901.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "1.23" , "19034.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "1.63" , "2080.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "1.20" , "21100.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "0.72" , "3000000.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "1.12" , "38474.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "1.35" , "779.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "50.0" , "3.68" , "0.90" , "1612585.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "50.0" , "3.68" , "1.40" , "17700.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "50.0" , "3.68" , "0.85" , "920132.00" ,
