 "Material" , "Resin" , "ReinforcementFiber" , "ZeroDegreeDirectionFiber_pct" , "FortyFiveDegreeDirectionFiber_pct" , "NinetyDegreeDirectionFiber_pct" , "OtherDegreeDirectionFiber_pct" , "GaugeSectionWidth_mm" , "GaugeSectionThickness_mm" , "MaximumStrain_pct" , "StressRatio" , "LoadCycle_time" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.20" , "0.10" , "108802.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.13" , "10.00" , "116437.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.99" , "0.10" , "1325.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.16" , "10.00" , "1465.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.11" , "10.00" , "1712433.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.94" , "0.10" , "2415.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.13" , "0.10" , "244866.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.19" , "10.00" , "266.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.85" , "0.10" , "2803.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.16" , "10.00" , "3815.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.00" , "0.10" , "389771.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.19" , "10.00" , "394.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.16" , "10.00" , "4295.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.15" , "10.00" , "4326.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.19" , "0.10" , "476154.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.60" , "0.10" , "4914.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.13" , "10.00" , "64663.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "1.29" , "0.10" , "65123.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.11" , "10.00" , "663181.00" ,
 "Biax-CH12-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "61.0" , "0.0" , "0.0" , "25.0" , "3.00" , "-0.15" , "10.00" , "7611.00" ,
