 "Material" , "Resin" , "ReinforcementFiber" , "ZeroDegreeDirectionFiber_pct" , "FortyFiveDegreeDirectionFiber_pct" , "NinetyDegreeDirectionFiber_pct" , "OtherDegreeDirectionFiber_pct" , "GaugeSectionWidth_mm" , "GaugeSectionThickness_mm" , "MaximumStrain_pct" , "StressRatio" , "LoadCycle_time" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "0.57" , "0.10" , "17683.00" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "0.81" , "0.10" , "23753.00" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "0.81" , "0.10" , "25183.00" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "1.06" , "0.10" , "2986.00" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "0.91" , "0.10" , "3572.00" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "0.94" , "0.10" , "4447.00" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "1.39" , "0.10" , "493.00" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "1.26" , "0.10" , "626.00" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "1.23" , "0.10" , "812.00" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "0.44" , "0.10" , "900000.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.30" , "0.10" , "10000000.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.76" , "0.10" , "11417.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.95" , "0.10" , "15703.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.59" , "-1.00" , "15930.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.73" , "0.10" , "16137.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "1.04" , "0.10" , "1668.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.41" , "-1.00" , "1824012.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "-0.05" , "10.00" , "19996.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.43" , "0.10" , "20500167.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.55" , "-1.00" , "21713.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "1.20" , "0.10" , "2921.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "-0.06" , "10.00" , "30000000.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "-0.09" , "10.00" , "3918.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "-0.04" , "10.00" , "4385009.00" ,
