 "Resin" , "ReinforcementFiber" , "ZeroDegreeDirectionFiber_pct" , "FortyFiveDegreeDirectionFiber_pct" , "NinetyDegreeDirectionFiber_pct" , "OtherDegreeDirectionFiber_pct" , "GaugeSectionWidth_mm" , "GaugeSectionThickness_mm" , "MaximumStrain_pct" , "StressRatio" , "LoadCycle_time" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "1.44" , "0.10" , "1244.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "0.66" , "0.10" , "18865901.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "1.23" , "0.10" , "19034.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "1.63" , "0.10" , "2080.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "1.20" , "0.10" , "21100.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "0.72" , "0.10" , "3000000.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "1.12" , "0.10" , "38474.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "1.35" , "0.10" , "779.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "50.0" , "3.68" , "0.90" , "0.10" , "1612585.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "50.0" , "3.68" , "1.40" , "0.10" , "17700.00" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "50.0" , "3.68" , "0.85" , "0.10" , "920132.00" ,
