 "MaterialName" , "GaugeSectionThickness" , "GaugeSectionWidth" , "Maxstress" , "Minstress" , "Maxstrainpct" , "Minstrainpct" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "-20.7" , "-207" , "-0.06" , "-0.58" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "-23.4" , "-234" , "-0.07" , "-0.66" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "-26.4" , "-264" , "-0.07" , "-0.74" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "-27.6" , "-276" , "-0.08" , "-0.78" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "-34.5" , "-345" , "-0.10" , "-0.97" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "-37.9" , "-379" , "-0.11" , "-1.06" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "-41.4" , "-414" , "-0.12" , "-1.17" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "-207" , "-414" , "-0.59" , "-1.17" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "-224" , "-448" , "-0.63" , "-1.26" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "-242" , "-483" , "-0.68" , "-1.36" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "-276" , "-552" , "-0.78" , "-1.56" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "160" , "-160" , "0.40" , "-0.40" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "176" , "-176" , "0.44" , "-0.44" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "207" , "20.7" , "0.45" , "0.05" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "187" , "-187" , "0.47" , "-0.47" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "205" , "-205" , "0.51" , "-0.51" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "220" , "-110" , "0.55" , "-0.28" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "234" , "-234" , "0.58" , "-0.58" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "345" , "34.5" , "0.60" , "0.06" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "257" , "-128.5" , "0.64" , "-0.32" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "264" , "-264" , "0.66" , "-0.66" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "310" , "31.0" , "0.67" , "0.07" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "294" , "-147" , "0.73" , "-0.37" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "345" , "34.5" , "0.75" , "0.08" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "414" , "41.4" , "0.90" , "0.09" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "469" , "46.9" , "1.01" , "0.10" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "538" , "53.8" , "1.16" , "0.12" ,
 "UNI-(0)2-UP2" , "0.80" , "6.0" , "690" , "69.0" , "1.49" , "0.15" ,
 "UNI-(90)4-UP2" , "1.38" , "13.0" , "-5.50" , "-55.0" , "-0.07" , "-0.65" ,
 "UNI-(90)4-UP2" , "1.38" , "13.0" , "-5.52" , "-55.2" , "-0.07" , "-0.65" ,
 "UNI-(90)4-UP2" , "1.38" , "13.0" , "-5.86" , "-58.6" , "-0.07" , "-0.65" ,
 "UNI-(90)4-UP2" , "1.38" , "13.0" , "-6.45" , "-64.5" , "-0.07" , "-0.72" ,
